Time (UTC),Plays
5/7/2020 00:00:00,0
5/8/2020 00:00:00,0
5/9/2020 00:00:00,0
5/10/2020 00:00:00,0
5/11/2020 00:00:00,0
5/12/2020 00:00:00,0
5/13/2020 00:00:00,1
5/14/2020 00:00:00,4
5/15/2020 00:00:00,13
5/16/2020 00:00:00,8
5/17/2020 00:00:00,1
5/18/2020 00:00:00,3
5/19/2020 00:00:00,0
5/20/2020 00:00:00,3
5/21/2020 00:00:00,2
5/22/2020 00:00:00,2
5/23/2020 00:00:00,10
5/24/2020 00:00:00,20
5/25/2020 00:00:00,5
5/26/2020 00:00:00,3
5/27/2020 00:00:00,1
5/28/2020 00:00:00,1
5/29/2020 00:00:00,3
5/30/2020 00:00:00,8
5/31/2020 00:00:00,11
6/1/2020 00:00:00,16
6/2/2020 00:00:00,9
6/3/2020 00:00:00,3
6/4/2020 00:00:00,1
6/5/2020 00:00:00,0
6/6/2020 00:00:00,2
6/7/2020 00:00:00,7
6/8/2020 00:00:00,8
6/9/2020 00:00:00,5
6/10/2020 00:00:00,2
6/11/2020 00:00:00,9
6/12/2020 00:00:00,3
6/13/2020 00:00:00,13
6/14/2020 00:00:00,8
6/15/2020 00:00:00,7
6/16/2020 00:00:00,3
6/17/2020 00:00:00,6
6/18/2020 00:00:00,1
6/19/2020 00:00:00,2
6/20/2020 00:00:00,12
6/21/2020 00:00:00,1
6/22/2020 00:00:00,7
6/23/2020 00:00:00,5
6/24/2020 00:00:00,12
6/25/2020 00:00:00,4
6/26/2020 00:00:00,0
6/27/2020 00:00:00,3
6/28/2020 00:00:00,2
6/29/2020 00:00:00,2
6/30/2020 00:00:00,3
7/1/2020 00:00:00,0
7/2/2020 00:00:00,3
7/3/2020 00:00:00,2
7/4/2020 00:00:00,5
7/5/2020 00:00:00,6
7/6/2020 00:00:00,7
7/7/2020 00:00:00,6
7/8/2020 00:00:00,4
7/9/2020 00:00:00,2
7/10/2020 00:00:00,4
7/11/2020 00:00:00,8
7/12/2020 00:00:00,8
7/13/2020 00:00:00,12
7/14/2020 00:00:00,8
7/15/2020 00:00:00,5
7/16/2020 00:00:00,5
7/17/2020 00:00:00,8
7/18/2020 00:00:00,4
7/19/2020 00:00:00,19
7/20/2020 00:00:00,16
7/21/2020 00:00:00,12
7/22/2020 00:00:00,15
7/23/2020 00:00:00,16
7/24/2020 00:00:00,10
7/25/2020 00:00:00,4
7/26/2020 00:00:00,6
7/27/2020 00:00:00,23
7/28/2020 00:00:00,12
7/29/2020 00:00:00,20
7/30/2020 00:00:00,18
7/31/2020 00:00:00,1
8/1/2020 00:00:00,8
8/2/2020 00:00:00,9
8/3/2020 00:00:00,12
8/4/2020 00:00:00,34
8/5/2020 00:00:00,3
8/6/2020 00:00:00,5
8/7/2020 00:00:00,2
8/8/2020 00:00:00,9
8/9/2020 00:00:00,5
8/10/2020 00:00:00,7
8/11/2020 00:00:00,18
8/12/2020 00:00:00,4
8/13/2020 00:00:00,5
8/14/2020 00:00:00,12
8/15/2020 00:00:00,8
8/16/2020 00:00:00,22
8/17/2020 00:00:00,3
8/18/2020 00:00:00,6
8/19/2020 00:00:00,20
8/20/2020 00:00:00,2
8/21/2020 00:00:00,5
8/22/2020 00:00:00,3
8/23/2020 00:00:00,43
8/24/2020 00:00:00,28
8/25/2020 00:00:00,23
8/26/2020 00:00:00,13
8/27/2020 00:00:00,13
8/28/2020 00:00:00,23
8/29/2020 00:00:00,8
8/30/2020 00:00:00,19
8/31/2020 00:00:00,33
